,address,latitude,longitude,mrt_shortest_dist,mrt_shortest_dist_name,mall_shortest_dist,mall_shortest_dist_name,school_shortest_dist,school_shortest_dist_name,mrt_count_within_1km,mrt_list_within_1km,mall_count_within_1km,mall_list_within_1km,good_sch_count_within_1km,good_sch_list_within_1km,good_sch_score,distance_to_cbd_km
2576,205A PUNGGOL FIELD,1.3985226201683,103.902111724631,1.0554332920430602,Sengkang MRT Station,0.7450871414330957,Rivervale Mall,0.5223999232785358,Punggol Green Primary School,0,[],2,"['Waterway Point', 'Rivervale Mall']",1,['Mee Toh School'],1,13.448082087695743
2577,174B EDGEDALE PLAINS,1.396731877474,103.910812912681,1.7944609622012662,Sengkang MRT Station,0.371382027123216,Punggol Plaza,0.1715858918309746,Greendale Primary School,0,[],3,"['Oasis Terraces', 'Punggol Plaza', 'Rivervale Mall']",1,['Mee Toh School'],1,13.705227943184424
2578,199C PUNGGOL FIELD,1.40064708187083,103.906006617712,1.533316480628014,Sengkang MRT Station,0.7778898334336136,Waterway Point,0.1630994172470032,Edgefield Primary School,0,[],3,"['Waterway Point', 'Oasis Terraces', 'Rivervale Mall']",1,['Mee Toh School'],1,13.845348466690728
2579,197B PUNGGOL FIELD,1.40013151118101,103.906647584844,1.553569895003918,Sengkang MRT Station,0.8146178447515305,Oasis Terraces,0.08905022100863001,Edgefield Primary School,0,[],4,"['Waterway Point', 'Oasis Terraces', 'Punggol Plaza', 'Rivervale Mall']",1,['Mee Toh School'],1,13.825415671277613
2580,102B PUNGGOL FIELD,1.39908525778671,103.905471407838,1.379503695104276,Sengkang MRT Station,0.767504935319715,Rivervale Mall,0.25595227007934196,Edgefield Primary School,0,[],4,"['Waterway Point', 'Oasis Terraces', 'Punggol Plaza', 'Rivervale Mall']",1,['Mee Toh School'],1,13.663973673821424
2581,104A EDGEFIELD PLAINS,1.3968057047795,103.905054187798,1.2056276013531957,Sengkang MRT Station,0.5114645861529642,Rivervale Mall,0.37949644685256506,Rivervale Primary School,0,[],2,"['Punggol Plaza', 'Rivervale Mall']",1,['Mee Toh School'],1,13.417159621842533
2582,637C PUNGGOL DR,1.39917980664379,103.915006560993,1.8226904416704692,Punggol MRT Station,0.438063887664221,Oasis Terraces,0.18288885844601158,Horizon Primary School,0,[],2,"['Oasis Terraces', 'Punggol Plaza']",1,['Mee Toh School'],1,14.169253702083168
2583,202A PUNGGOL FIELD,1.39966422309229,103.904495606279,1.3349819198816113,Sengkang MRT Station,0.7996893111349039,Waterway Point,0.33404637160947975,Edgefield Primary School,0,[],2,"['Waterway Point', 'Rivervale Mall']",1,['Mee Toh School'],1,13.674639442676023
2584,171B EDGEDALE PLAINS,1.39497731786872,103.912717529753,1.9518361004850813,Sengkang MRT Station,0.0896916885710479,Punggol Plaza,0.17174513005876743,Greendale Primary School,0,[],3,"['Oasis Terraces', 'Punggol Plaza', 'Rivervale Mall']",1,['Mee Toh School'],1,13.639412361100154
2585,638A PUNGGOL DR,1.40012395686646,103.914871740477,1.7185994258855513,Punggol MRT Station,0.3372516003951523,Oasis Terraces,0.17514596202316934,Horizon Primary School,0,[],2,"['Oasis Terraces', 'Punggol Plaza']",1,['Mee Toh School'],1,14.252568605585859
