,Mall,latitude,longitude
140,Jem,1.33329334473462,103.743278742341
141,Westgate,1.33415767556867,103.742766484424
142,Jurong Point,1.33945200436319,103.706685012654
143,Pioneer Mall,1.34169239214292,103.697174842118
144,The Star Vista,1.30681500712523,103.788462732266
145,Alexandra Central,1.28728320930592,103.805283367958
146,Anchorpoint,1.28893477974497,103.805607779399
147,Boon Lay Shopping Centre,1.34633552457315,103.712430373455
148,Grantral Mall,1.31427043922294,103.765147487482
149,Fairprice Hub,1.32561767765205,103.678409741897
150,Gek Poh Shopping Centre,1.34874357136408,103.697732091001
151,Rochester Mall,1.30540765569962,103.788446680148
152,Taman Jurong Shopping Centre,1.33484487471259,103.720462024278
153,West Coast Plaza,1.30369748971099,103.766131294678
154,Queensway Shopping Centre,1.2876179255874,103.803391140455
