,name,SAP,GEP,Affiliated_Secondary,latitude,longitude
157,Temasek Primary School,0,0,0,1.31770677551333,103.945590669163
158,Townsville Primary School,0,0,0,1.36003263746623,103.853826048327
159,Unity Primary School,0,0,0,1.40285481877246,103.746822625758
160,Valour Primary School,0,0,0,1.40683570215319,103.899078139493
161,Waterway Primary School,0,0,0,1.39882800626578,103.918621581556
162,Wellington Primary School,0,0,0,1.45192019155475,103.822303719094
163,West Grove Primary School,0,0,0,1.3448790560014,103.699286360581
164,West Spring Primary School,0,0,0,1.38944145898943,103.766195711835
165,West View Primary School,0,0,0,1.38378546546228,103.760273432258
166,Westwood Primary School,0,0,0,1.34718456606375,103.70053420978
167,White Sands Primary School,0,0,0,1.36563610941695,103.960861814678
168,Woodgrove Primary School,0,0,0,1.43273620725049,103.79023031392
169,Woodlands Primary School,0,0,0,1.43655108594232,103.791570546509
170,Woodlands Ring Primary School,0,0,0,1.43495229315857,103.797435733144
171,Xinghua Primary School,0,0,0,1.35790893589535,103.890472887906
172,Xingnan Primary School,0,0,0,1.34254744877694,103.687950252103
173,Xinmin Primary School,0,0,0,1.37139548941931,103.883080767491
174,Xishan Primary School,0,0,0,1.43347186925064,103.837755319448
175,Yangzheng Primary School,0,0,0,1.34864575840923,103.868595527042
176,Yew Tee Primary School,0,0,0,1.39676600905037,103.750985967346
177,Yio Chu Kang Primary School,0,0,0,1.37793264345276,103.885643682171
178,Yishun Primary School,0,0,0,1.43338602975674,103.834087115915
179,Yu Neng Primary School,0,0,0,1.33388930344069,103.932144857355
180,Yuhua Primary School,0,0,0,1.34280230475033,103.741105772644
181,Yumin Primary School,0,0,0,1.35129177656981,103.950461927088
182,Zhangde Primary School,0,0,0,1.28421153335379,103.825951875662
183,Zhenghua Primary School,0,0,0,1.37954887512229,103.769313521752
184,Zhonghua Primary School,0,0,0,1.36020329705047,103.869762438084
