,name,latitude,longitude
0,Jurong East MRT Station,1.33329506563598,103.742153884191
1,Bukit Batok MRT Station,1.34903331201636,103.749566478309
2,Bukit Gombak MRT Station,1.35861159094192,103.751790910733
3,Choa Chu Kang MRT Station,1.38536316540225,103.744370779756
4,Yew Tee MRT Station,1.39747594171731,103.747418249132
5,Kranji MRT Station,1.42508698073648,103.762137459497
6,Marsiling MRT Station,1.43252114855026,103.774074641403
7,Woodlands MRT Station,1.43605761708128,103.787938777173
8,Admiralty MRT Station,1.44058856161847,103.800990519771
9,Sembawang MRT Station,1.44905082158502,103.820046140211
10,Canberra MRT Station,1.44307664075699,103.829702590959
11,Yishun MRT Station,1.42944308477331,103.835005047246
12,Khatib MRT Station,1.41738337009565,103.832979908243
13,Yio Chu Kang MRT Station,1.38168259989517,103.844991053696
14,Ang Mo Kio MRT Station,1.36942855699191,103.849455226442
15,Bishan MRT Station,1.35131580146658,103.84914026532
16,Braddell MRT Station,1.3404690010277,103.846799083148
17,Toa Payoh MRT Station,1.33259672794159,103.847577286075
18,Novena MRT Station,1.32044079120154,103.843825618748
19,Newton MRT Station,1.3123189224097,103.837984594021
20,Orchard MRT Station,1.30242224836722,103.823868523249
21,Somerset MRT Station,1.30026416739006,103.839085753124
22,Dhoby Ghaut MRT Station,1.29865043818251,103.846156122354
23,City Hall MRT Station,1.29298990728295,103.852542630611
24,Raffles Place MRT Station,1.28393326234538,103.851463066212
25,Marina Bay MRT Station,1.27642735476716,103.854597776754
26,Marina South Pier MRT Station,1.27102703612006,103.862447515736
27,Pasir Ris MRT Station,1.37304331635804,103.949284527763
28,Tampines MRT Station,1.34551530560119,103.938436971222
29,Simei MRT Station,1.34319707851829,103.953377214378
30,Tanah Merah MRT Station,1.32718729074675,103.946348600798
31,Bedok MRT Station,1.32040148729112,103.957183823478
32,Kembangan MRT Station,1.3210381335934,103.912947930851
33,Eunos MRT Station,1.31978354916088,103.903225807255
34,Paya Lebar MRT Station,1.3172473854035,103.892260753884
35,Aljunied MRT Station,1.3164326118157,103.882906044385
36,Kallang MRT Station,1.31148890998818,103.871386541754
37,Lavender MRT Station,1.30737781747063,103.862767633888
38,Bugis MRT Station,1.30046508509717,103.855706730933
39,City Hall MRT Station,1.29298990728295,103.852542630611
40,Raffles Place MRT Station,1.28393326234538,103.851463066212
41,Tanjong Pagar MRT Station,1.27660353980916,103.845961652831
42,Outram Park MRT Station,1.27973970679335,103.839513521005
43,Tiong Bahru MRT Station,1.28610253588403,103.827445112691
44,Redhill MRT Station,1.28963453412887,103.81674097205
45,Queenstown MRT Station,1.29455085184931,103.806077155982
46,Commonwealth MRT Station,1.30250199924325,103.798228523336
47,Buona Vista MRT Station,1.3072237082044,103.790253514502
48,Dover MRT Station,1.31140529320963,103.778637841909
49,Clementi MRT Station,1.31511625277378,103.765191452888
50,Jurong East MRT Station,1.33329506563598,103.742153884191
51,Chinese Garden MRT Station,1.34224494823931,103.732766601621
52,Lakeside MRT Station,1.34425911493819,103.720949087456
53,Boon Lay MRT Station,1.33861033900695,103.706084900902
54,Pioneer MRT Station,1.33758701106708,103.697321608474
55,Joo Koon MRT Station,1.32768606129235,103.678345539289
56,Gul Circle MRT Station,1.31947090075208,103.660530461345
57,Tuas Crescent MRT Station,1.32102695598684,103.649078235627
58,Tuas West Road MRT Station,1.32998504653102,103.639616648771
59,Tuas Link MRT Station,1.34088242451105,103.636991425128
60,Expo MRT Station,1.33538252614956,103.962374747451
61,Changi Airport MRT Station,1.35747897447692,103.98788356959
62,HarbourFront MRT Station,1.26538938374901,103.821530157095
63,Outram Park MRT Station,1.27973970679335,103.839513521005
64,Chinatown MRT Station,1.28422391919085,103.845143798953
65,Clarke Quay MRT Station,1.28871023151727,103.846610945684
66,Dhoby Ghaut MRT Station,1.29865043818251,103.846156122354
67,Little India MRT Station,1.30724381608438,103.849841614124
68,Farrer Park MRT Station,1.31314029963164,103.854754721344
69,Boon Keng MRT Station,1.31993957653291,103.862052698446
70,Potong Pasir MRT Station,1.3318797140041,103.869057877586
71,Woodleigh MRT Station,1.33919004519388,103.87081830915
72,Serangoon MRT Station,1.35063361526525,103.872771660431
73,Kovan MRT Station,1.36017917065237,103.885064856353
74,Hougang MRT Station,1.37129226620797,103.892380513029
75,Buangkok MRT Station,1.38287001971672,103.893122569706
76,Sengkang MRT Station,1.39169462601522,103.895484694279
77,Punggol MRT Station,1.41492733388605,103.910166388177
78,Dhoby Ghaut MRT Station,1.29865043818251,103.846156122354
