,Feature,Name,latitude,longtitude
66,pre-school,ETONHOUSE BILINGUAL PRE-SCHOOL PTE. LTD.,1.345444108268,103.772921569193
67,pre-school,ETONHOUSE PRE-SCHOOL PTE LTD,1.29197050220301,103.841157125203
68,pre-school,ETONHOUSE PRE-SCHOOL PTE LTD,1.33124060493416,103.798218031897
69,pre-school,ETONHOUSE PRE-SCHOOL PTE LTD,1.31719717522662,103.841022301849
70,pre-school,ETONHOUSE PRE-SCHOOL PTE LTD,1.30846563615769,103.87898464628
71,pre-school,ETONHOUSE PRE-SCHOOL PTE LTD,1.30111803050229,103.886664521422
72,pre-school,ETONHOUSE PRE-SCHOOL PTE LTD,1.32809162956526,103.802016790014
73,pre-school,EUREKA SCHOOLHOUSE PTE LTD,1.31972453237922,103.756238311502
74,pre-school,EUREKA SCHOOLHOUSE PTE LTD,1.33848284969373,103.957683535737
75,pre-school,First Steps Preschol @ Jurong,1.32857137803758,103.752715205461
76,pre-school,First Steps Preschool @ Admiralty,1.44180556582701,103.796073475424
77,pre-school,First Steps Preschool @ Macpherson,1.32880573322082,103.879236224062
78,pre-school,First Steps Preschool @ Sengkang,1.38716526684982,103.870391672049
79,pre-school,First Steps Preschool @ Yishun,1.43678095925838,103.843618914599
80,pre-school,First Steps Preschool@ East Coast,1.3012903760623,103.906458599732
81,pre-school,GENESIS CHILD CARE (TP) PTE. LTD.,1.35906224341534,103.951083189256
82,pre-school,GENIUS HIVE PRE-SCHOOL PTE. LTD.,1.28055039457141,103.84919562674
83,pre-school,GENIUS SCHOOL HOUSE,1.39905761454622,103.915464678902
84,pre-school,GLOBAL CHILD DEVELOPMENT CENTRE,1.43342605184092,103.798859980051
85,pre-school,GLOBAL CHILD DEVELOPMENT CENTRE @ TAMPINES,1.3560869980357,103.931752248071
86,pre-school,GLOBAL MINDZ (EDEN) PRESCHOOL LIMITED,1.39368190195314,103.900770049824
87,pre-school,CARPE DIEM JUNIORS PTE. LTD.,1.30979212600887,103.865023825006
88,pre-school,CARPE DIEM KIDS ACADEMY @ WATTEN PTE. LTD.,1.32772461885061,103.806971525563
89,pre-school,CARPE DIEM KIDSWORLD PTE. LTD.,1.34617364982715,103.699978670147
90,pre-school,CARPE DIEM KIDZ PLAYHOUSE PTE. LTD.,1.45623681233859,103.829594895384
91,pre-school,CARPE DIEM KIDZ UNIVERSE PTE. LTD.,1.28533795869491,103.796873230009
92,pre-school,CARPE DIEM KINDERACE PTE. LTD.,1.35175349251737,103.748972273329
93,pre-school,CARPE DIEM KINDERCARE PTE. LTD.,1.3302319193039,103.909386975272
94,pre-school,CARPE DIEM LITTLE GREEN HOUSE PTE. LTD.,1.43475840112514,103.802721060087
95,pre-school,CARPE DIEM MI PRESCHOOL PTE. LTD.,1.37465060586757,103.88122288652
96,pre-school,CARPE DIEM MI SCHOOLHOUSE PTE. LTD.,1.37676277073489,103.878108309572
97,pre-school,CARPE DIEM SCHOOLHOUSE PTE LTD,1.33796172734574,103.843250727572
98,pre-school,CARPE DIEM SCHOOLHOUSE PTE LTD,1.34346212474231,103.770314556273
99,pre-school,Carpe Diem Schoolhouse Pte Ltd,1.39315967300012,103.885659928493
100,pre-school,CARPE DIEM SCHOOLHOUSE PTE. LTD.,1.33819254002373,103.774522634595
101,pre-school,CARPE DIEM SPRINGS PTE. LTD.,1.27394214952866,103.83565927616
102,pre-school,CARPE DIEM STARLETS 1 PTE. LTD.,1.37821370734456,103.751983017752
103,pre-school,CARPE DIEM STARLETS 2 PTE. LTD.,1.37884241065158,103.750339359395
104,pre-school,CARPE DIEM STARLETS SPARKLE PTE. LTD.,1.28265615383848,103.818496868157
105,pre-school,CARPE DIEM YOUNG HEARTS PTE. LTD.,1.3550505799684,103.961599963
106,pre-school,CARPE DIEM YOUNG JOY PTE. LTD.,1.38358044141428,103.770768312339
107,pre-school,CARPE DIEM YOUNG MINDS PTE. LTD.,1.35479930016955,103.952611417883
108,pre-school,Centre of New Life Schoolhouse,1.3493816179959,103.698883758933
109,pre-school,LITTLE GREENHOUSE @ JW PTE. LTD.,1.34735317108714,103.723952185693
110,pre-school,LITTLE GREENHOUSE @ S540 PTE LTD,1.37461946643915,103.872572638953
111,pre-school,LITTLE GREENHOUSE @ S553 PTE LTD,1.37171081553149,103.871233396559
