,Feature,Name,latitude,longtitude
0,parks,ENG KONG PLACE FC,1.33473971734994,103.767247828268
1,parks,JANGGUS GARDEN,1.45752912996806,103.836995927634
2,parks,JLN LIMAU MANIS PG,1.32472541179196,103.949054175983
3,parks,GARDEN VIEW PG,1.36038352757809,103.86566703067
4,parks,THOMSON GREEN PG,1.37869395342781,103.832599363978
5,parks,JLN RIANG PG,1.34713101817258,103.867368435586
6,parks,MEI HWAN CRESCENT PG,1.35280772776089,103.861737336598
7,parks,FULTON AVE PG,1.36212606679353,103.833557588824
8,parks,MIMOSA TERRACE PG,1.38402943174038,103.860427116114
9,parks,JLN GENENG INTERIM PK,1.3533332104439,103.880903846017
10,parks,LENTOR WALK PG,1.38860542866278,103.838379768292
11,parks,FLORISSA PK PG,1.38697094445864,103.835072203421
12,parks,BOUGAINVILLEA PK,1.32673322347077,103.807630569153
13,parks,GREENRIDGE CRESCENT PG,1.33427899696979,103.765747964369
14,parks,Jalan Tekukor Playground,1.34615105306193,103.766772128758
15,parks,Highgate Walk Playground,1.34051649266749,103.76598447237
16,parks,Clementi Woods Park,1.29982839456502,103.767556044786
17,parks,Lakeside Grove Playground,1.34008166817486,103.718611913632
18,parks,SIANG KUANG AVE INTERIM PK,1.32982620739251,103.873049624105
19,parks,MACRITCHIE RESERVOIR PK,1.34152301286457,103.833590422111
20,parks,TAI KENG GARDENS PG,1.3461850467886,103.884924857854
21,parks,TELOK AYER PK,1.27808686932867,103.846654778143
22,parks,CHESTNUT CLOSE PARK,1.36895143902384,103.773340678073
23,parks,WOODLANDS WATERFRONT PK,1.45380370293999,103.781617545651
24,parks,JLN PARI DEDAP PG,1.33299843079888,103.943909676406
25,parks,INTERIM PK AT LENGKONG ENAM,1.32742803694561,103.91472539986
26,parks,Jalan Senang Linear Park,1.32557239453139,103.917184248938
27,parks,Bishan-Ang Mo Kio Park (Pond Gardens),1.36517069612261,103.83629822702
28,parks,ST. NICHOLAS VIEW PLAYGROUND,1.37170601144111,103.832814917136
29,parks,WOODLANDS TOWN PK EAST,1.43665778618575,103.779243738199
30,parks,HORTPARK,1.27926286005811,103.797934009008
31,parks,YISHUN PK,1.42448806810745,103.842482846587
32,parks,PEBBLE GARDEN,1.45064134615619,103.829490457455
33,parks,SEMBAWANG PK,1.46136162644487,103.836500475057
34,parks,TAMAN PERMATA PK,1.3499062006341,103.83482493173
35,parks,TANJONG PAGAR PK,1.27656099848523,103.846320994422
36,parks,HANDY RD OS,1.29897074317145,103.8477751085
37,parks,LEBAN PARK,1.37252998423682,103.829257356996
38,parks,SUN PLAZA PK,1.35888549034422,103.943716650896
39,parks,ISTANA PK,1.2992753996548,103.843876655285
40,parks,SOMME RD PG,1.31151741326729,103.858162147397
41,parks,TAMPINES ECO GREEN PK,1.36377757638244,103.948183299937
42,parks,SG API API PK,1.37890007465022,103.946079526558
43,parks,PASIR RIS PK,1.3812338688554,103.95048148047
44,parks,West Coast Park,1.29671519960425,103.762725076206
45,parks,CORONATION PARK,1.3219884294624,103.796419777447
46,parks,RAFFLES PLACE PK,1.28437017035973,103.851639236462
47,parks,LUXUS HILLS PARK,1.37952623762826,103.875032277323
48,parks,THONG SOON GREEN PG,1.4000259334119,103.818319004082
49,parks,MT BATTEN RD/OLD AIRPORT RD OS,1.30581191048535,103.883249827298
50,parks,SPRINGLEAF AVE PG,1.40087927090411,103.822458537855
51,parks,TELOK KURAU LORONG N PK,1.31032524205713,103.912804863282
52,parks,OPERA ESTATE FOOTBALL FIELD,1.32009535063619,103.924452916818
53,parks,CARPMAEL PARK,1.31150262953929,103.898951822019
54,parks,INTERIM PK AT TERANG BULAN AVE,1.32161086249967,103.921506296911
55,parks,TANAH MERAH PG,1.3289414630879,103.946946932252
56,parks,MARIAM WALK PG,1.35953985336821,103.968550248216
57,parks,LOYANG VIEW PG,1.36346752594529,103.966400296799
58,parks,JLN ANGIN LAUT PG,1.33715545143151,103.956229528547
59,parks,EASTWOOD PK PG,1.32314067643293,103.957576741934
60,parks,JLN CHEMPAKA KUNING PG,1.32974522939979,103.95017493913
61,parks,JLN PELATOK PG,1.34614579114383,103.960268909421
62,parks,MERAGI RD PG,1.3443834063716,103.960282637278
63,parks,PESARI WALK PG,1.32443352267153,103.95398580115
64,parks,HARVEY CRESCENT PG,1.34065465957795,103.955218546105
65,parks,MARIAM WAY PG,1.361964404984,103.966189565513
66,parks,BEDOK TERRACE PG,1.32554550423793,103.947485514222
67,parks,KEW DR PG,1.32075086643549,103.951749636244
68,parks,LUCKY GARDENS PG,1.31925467821664,103.941457533044
69,parks,SENNETT AVE PG,1.31701304260754,103.936212369999
70,parks,JLN LIMAU KASTURI PG,1.32398022872871,103.946383278957
71,parks,KEW AVE PG,1.32162648270225,103.948450316706
72,parks,KEW CRESCENT PG,1.3192876968369,103.948539115254
73,parks,LIMAU VILLAS PG,1.32385854867799,103.950446082156
74,parks,CHANGI HEIGHTS PG,1.36287588170623,103.97211461805
75,parks,SENNETT AVE OS,1.31880391636279,103.939393852142
76,parks,JLN LIMAU KASTURI OS,1.32444943012511,103.946228623476
77,parks,BEDOK RESERVOIR PK,1.3391039156729,103.922534729838
78,parks,TANJONG KATONG RD SOUTH PG,1.30025471001885,103.897292791081
79,parks,JLN BULOH PERINDU PG,1.30848572286158,103.919387915286
80,parks,MEYER RD PG,1.29857025915483,103.894203752217
81,parks,EAST COAST TERRACE PK,1.3109384904891,103.923815043439
82,parks,ELITE TERRACE PK,1.31559380619312,103.924303585939
